position,mean_log_prob,median_log_prob,std_log_prob,count,min_log_prob,max_log_prob
193,-2.693095598616521,-1.8604921698570251,2.5771567330964174,240,-10.558154106140137,-8.344646857949556e-07
194,-2.929425623702264,-2.0973445177078247,2.876056235294088,240,-19.222646713256836,-0.000316212244797498
195,-3.096129196781961,-2.3161654472351074,2.843627083691649,240,-12.961572647094727,-0.0002646096108946949
196,-2.999813099509538,-2.1933183670043945,2.6467410526735033,240,-15.775874137878418,-2.932505594799295e-05
197,-2.926836619396272,-1.974290132522583,3.082053980527749,240,-20.232845306396484,-0.00030560590676032007
198,-2.5187480206670445,-1.7063831090927124,2.4300535156683334,240,-13.390800476074219,-0.00037353215157054365
199,-2.9059533910733686,-2.2814382314682007,2.617265433446722,240,-12.865409851074219,-0.0006478118011727929
200,-3.161941957494916,-2.3628586530685425,2.94953648955843,240,-19.927539825439453,-0.00016985881666187197
201,-2.841291921012938,-2.1125293970108032,2.6106163872527564,240,-13.61670207977295,-0.00015031162183731794
202,-3.1148283475489733,-2.497831702232361,2.6495223351050208,240,-15.077386856079102,-0.0004880429187323898
203,-2.8405118441445665,-2.134325623512268,2.6717606538949137,240,-14.886943817138672,-0.00046135272714309394
204,-2.9963860156024262,-2.413306713104248,2.6503718991396785,240,-11.893655776977539,-7.664863369427621e-05
205,-3.0327025764806725,-2.3340508937835693,2.6855384422268944,240,-15.718846321105957,-0.00012003655137959868
206,-2.601177535607948,-1.7956432104110718,2.821342948568365,240,-15.818499565124512,-1.7881377516459906e-06
207,-3.00906635359194,-2.3109747171401978,2.918683827380627,240,-16.008277893066406,-0.0002224197960458696
208,-2.7461282761403707,-1.757920742034912,3.0227329538473504,240,-23.22804832458496,-0.0004549183649942279
209,-2.920408993980042,-2.2544716596603394,2.713670367072936,240,-15.854351997375488,-0.0006973695708438754
210,-3.0696062815491434,-1.9157528281211853,3.129483867595003,240,-13.480301856994629,-0.0002053765201708302
211,-3.09172541453263,-2.121141195297241,2.9742545477426807,240,-17.760250091552734,-0.00029523781267926097
212,-3.0586230366820626,-2.3171887397766113,2.803676210592072,240,-14.946327209472656,-0.0004887578543275595
213,-3.2339988308888374,-2.166406035423279,3.364469502195573,240,-25.126493453979492,-0.00029202012228779495
214,-3.154569701308113,-2.185929536819458,2.837201066166991,240,-12.197866439819336,-0.000388665939681232
215,-2.9700917423407796,-2.0995222330093384,2.827091918502334,240,-13.86921215057373,-6.09140915912576e-05
216,-2.8883178140626113,-2.0950934886932373,2.6923140598692785,240,-11.314504623413086,-0.0009463122696615756
217,-3.031150111536651,-2.0654581785202026,2.9118690547656083,240,-12.662989616394043,-0.00011646069469861686
218,-2.7956835523934083,-2.1120288372039795,2.562865255694309,240,-11.034629821777344,-7.629365427419543e-06
219,-2.8789851670721873,-2.3154102563858032,2.5773061274816245,240,-10.869264602661133,-4.23184028477408e-05
220,-2.954700085933776,-2.2524412870407104,3.0025197953972986,240,-25.86459732055664,-0.00041797960875555873
221,-3.0959486877763385,-2.400887608528137,2.793212048409802,240,-13.344985008239746,-3.6238969187252223e-05
222,-3.2477840962418214,-2.24279522895813,3.09126058172342,240,-18.510103225708008,-3.3378044463461265e-05
223,-3.305122365876074,-2.3141212463378906,3.2518126033847783,240,-25.13571548461914,-0.0001646144810365513
224,-3.3009672445640414,-2.7841471433639526,2.770000052801238,240,-13.055583000183105,-0.0007285801111720502
225,-2.9434416544330815,-2.102257490158081,2.7926341301938677,240,-14.846709251403809,-0.00014184899919200689
226,-2.8531742221149217,-1.945255696773529,2.7455026359199204,240,-12.546958923339844,-3.755022044060752e-05
227,-3.13549256497901,-2.4380946159362793,2.7891167357002455,240,-11.535740852355957,-3.6477376852417365e-05
228,-3.0634145121110974,-1.9189843535423279,3.170958618993915,240,-17.62196922302246,-6.794906312279636e-06
229,-2.9058588652563535,-2.251720428466797,2.5511813068603932,240,-12.590235710144043,-0.0009687021956779063
230,-2.995135322299514,-2.2278815507888794,2.7161106228005436,240,-11.369548797607422,-0.00039081089198589325
231,-3.235591386973101,-2.2471505403518677,3.078991696931235,240,-16.71965980529785,-0.0010944573441520333
232,-3.2447408138881655,-2.314610719680786,2.9705450692622093,240,-15.861759185791016,-0.0001928620331455022
233,-2.672768655472449,-1.791473388671875,2.6406559282283144,240,-11.845980644226074,-5.507317473529838e-05
234,-3.048480072688835,-2.422404170036316,2.793238443878105,240,-12.944334983825684,-0.0006169561529532075
235,-3.36609840027207,-2.2664183378219604,3.1595812568131416,240,-15.51063060760498,-0.0002636561985127628
236,-2.9397619741715366,-2.137479066848755,2.7200496822524243,240,-13.220190048217773,-0.00014351768186315894
237,-3.2713627800328444,-2.3705064058303833,3.143184450404654,240,-22.680599212646484,-0.0005691815749742091
238,-3.108424826108967,-2.50615918636322,2.843888112170604,240,-13.977086067199707,-0.0002498314715921879
239,-2.9501514533674102,-2.12326180934906,2.9362085498047845,240,-18.679786682128906,-0.00013076403411105275
240,-3.337307326571181,-2.2538686990737915,3.159498445374068,240,-20.67694854736328,-1.728519782773219e-05
241,-3.1970055489571676,-2.55526065826416,2.7248346580333296,240,-11.781015396118164,-0.00011240804451517761
242,-2.5210519444661865,-1.9284470081329346,2.391993202928615,240,-11.14352035522461,-0.0002324311062693596
243,-3.2350423545507967,-2.399029493331909,3.044592827075408,240,-20.198345184326172,-4.6132929128361866e-05
244,-3.3706281616037814,-2.663177251815796,3.0500559996616814,240,-15.61190128326416,-0.000188332938705571
245,-2.6809554082416676,-1.9413945078849792,2.5227659139697445,240,-11.586614608764648,-0.0009735850035212934
246,-3.2108031478238446,-2.2920613288879395,2.9408697558368284,240,-12.516096115112305,-8.487341256113723e-05
247,-2.701272050584127,-2.1041932106018066,2.4621746629654386,240,-12.04143238067627,-4.053033626405522e-05
248,-2.747955397329497,-1.6762840151786804,2.716538457166846,240,-11.877724647521973,-0.0006605588714592159
249,-2.5494670647312225,-1.8633812069892883,2.3948294234182605,240,-12.18769645690918,-5.602820692729438e-06
250,-3.1110100402742926,-2.4881715774536133,2.762534264608636,240,-13.456155776977539,-0.0002980979916173965
251,-2.88471964198737,-2.0239928364753723,2.829146745360695,240,-15.537282943725586,-0.00047994061606004834
252,-3.040415844349021,-2.096416711807251,2.908337819772583,240,-11.724324226379395,-0.0002579356369096786
253,-3.1628477142475577,-2.455229163169861,2.9046042673515546,240,-14.628897666931152,-0.00010907054820563644
254,-2.721801574224082,-2.2553584575653076,2.4090439825015193,240,-12.263193130493164,-0.0002033503697020933
